title,price,address,latitude,longitude,guests,type,url
"1-к. квартира, 32 м², 2 кровати",3100,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 152",51.521465,104.149803,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_32_m_2_krovati_3568270759?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 33 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 159",51.520732225483044,104.1551930766976,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_7504362838?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 31 м², 3 кровати",2000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 150",51.521492,104.1531296,5,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_31_m_3_krovati_7411903037?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 46 м², 3 кровати",4000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 159",51.52073669,104.1551666,4,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_46_m_3_krovati_7874089164?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 50 м², 2 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 151А",51.52074814,104.1495667,2,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_50_m_2_krovati_7788268186?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 34 м², 2 кровати",3100,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 152",51.521648159026434,104.14978726720443,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_34_m_2_krovati_4624040515?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"Квартира-студия, 44 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 158",51.520843505859375,104.15442414851731,4,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_44_m_2_krovati_3527681860?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 33 м², 2 кровати",5000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 193",51.51720047,104.1535492,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_7764378427?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 59 м², 2 кровати",4000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 170",51.521868,104.150045,4,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_59_m_2_krovati_2349348725?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 36 м², 3 кровати",2300,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, Железнодорожная ул., 13",51.51984641500835,104.13524147983824,5,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_36_m_3_krovati_4501702198?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"Квартира-студия, 30 м², 2 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 39",51.51749039,104.1451569,4,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_30_m_2_krovati_7836005489?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 35 м², 2 кровати",3150,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 196",51.518354,104.155741,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_35_m_2_krovati_2283643505?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 33,1 м², 2/3 эт.",2200,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 201",51.52006276508892,104.1556191228692,3,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_331_m_23_et._7881332033?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 60 м², 3 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальск, мкр-н Гагарина, 158 А",51.5201516802,104.154396458,5,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_60_m_3_krovati_1003846668?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 49,8 м², 4 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 182",51.517654,104.149866,7,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_498_m_4_krovati_2314550841?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 52 м², 4 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 29",51.520663,104.148186,6,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_52_m_4_krovati_2722768051?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 36,6 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 189",51.516185,104.149758,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_366_m_2_krovati_2693233383?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"Квартира-студия, 30 м², 2 кровати",3450,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 39",51.51749039,104.1451569,4,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_30_m_2_krovati_7531969568?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 32 м², 2 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 9",51.522905,104.155381,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_32_m_2_krovati_3626698613?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 33,5 м², 2 кровати",2100,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 173",51.520002,104.150584,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_335_m_2_krovati_3487626152?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 30,6 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 2",51.52209854,104.1511307,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_306_m_2_krovati_7875567954?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 31 м², 2 кровати",2000,"Иркутская обл., Слюдянский р-н, Байкальск, мкр-н Гагарина, 151",51.5209845207142,104.15028924581,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_31_m_2_krovati_2072984987?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 33 м², 2 кровати",3100,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 181",51.51891054385958,104.14889793637388,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_3440379121?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 36 м², 1 кровать",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 188",51.5162035331891,104.149126684338,2,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_36_m_1_krovat_2282192483?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
