title,price,address,latitude,longitude,guests,type,url
"1-к. квартира, 32 м², 2 кровати",2000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Южный, 4-й квартал, 22",51.512245,104.143083,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_32_m_2_krovati_2068537419?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"Квартира-студия, 35 м², 3 кровати",4000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 33",51.517205,104.147162,1,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_35_m_3_krovati_2685773779?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 24 м², 2 кровати",2300,"Иркутская обл., Слюдянский р-н, Байкальск, мкр-н Гагарина, 35",51.5172431490678,104.146479646148,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_24_m_2_krovati_915494935?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 58 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 12",51.52231216,104.1532516,2,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_58_m_2_krovati_4071946140?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 49 м², 2 кровати",3800,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 179",51.5180528809612,104.15049936942188,4,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_49_m_2_krovati_4458697870?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 159",51.520732225483044,104.1551930766976,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_7504362838?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 34,7 м², 2 кровати",2800,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, Строительная ул., 1",51.5233225838787,104.134049833704,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_347_m_2_krovati_2355717252?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 52 м², 4 кровати",3800,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 29",51.520663,104.148186,1,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_52_m_4_krovati_2722768051?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33,3 м², 2 кровати",2800,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 29",51.520545,104.148294,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_333_m_2_krovati_2410833373?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"Квартира-студия, 30 м², 2 кровати",2875,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 39",51.51749039,104.1451569,4,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_30_m_2_krovati_7531969568?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
